,Active.Date,COUNTY,LEGAL.NAME,INSTITUTION.TYPE.DESCRIPTION,INSTITUTION.SUB.TYPE.DESCRIPTION,GRADE.ORGANIZATION.DESCRIPTION,MAILING.ADDRESS,MAIL.CITY,STATE,ZIP,location,long,lat
1483,7/1/1985,WESTCHESTER,KENSICO SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL INDEPENDENT UNION FREE,Elementary,320 COLUMBUS AVE,VALHALLA,NY,10595,"320 COLUMBUS AVE, VALHALLA, NY 10595",-73.7772479,41.0904334
1484,7/1/1985,WESTCHESTER,VALHALLA HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL INDEPENDENT UNION FREE,Senior High,300 COLUMBUS AVE,VALHALLA,NY,10595,"300 COLUMBUS AVE, VALHALLA, NY 10595",-73.775942,41.0912421
1485,7/1/1994,WESTCHESTER,VALHALLA MIDDLE SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL INDEPENDENT UNION FREE,Middle School,300 COLUMBUS AVE,VALHALLA,NY,10595,"300 COLUMBUS AVE, VALHALLA, NY 10595",-73.775942,41.0912421
1486,7/1/1980,WESTCHESTER,ACADEMY OF OUR LADY OF GOOD COUNSEL ELEMENTARY SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,Elementary,2 BROADWAY,VALHALLA,NY,10595,"2 BROADWAY, VALHALLA, NY 10595",-73.7700129,41.0724075
1487,7/1/1980,WESTCHESTER,MOUNT PLEASANT-BLYTHEDALE UNION FREE SCHOOL DISTRICT,SCHOOL DISTRICTS,SPECIAL ACT,NA,95 BRADHURST AVE,VALHALLA,NY,10595,"95 BRADHURST AVE, VALHALLA, NY 10595",-73.799703,41.0746804
1488,7/1/1980,WESTCHESTER,BLYTHEDALE SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL SPECIAL ACT,K-12 School,95 BRADHURST AVE,VALHALLA,NY,10595,"95 BRADHURST AVE, VALHALLA, NY 10595",-73.799703,41.0746804
1489,7/1/1980,WESTCHESTER,THOMAS JEFFERSON ELEMENTARY SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL INDEPENDENT CENTRAL,Elementary,3636 GOMER ST,YORKTOWN HEIGHTS,NY,10598,"3636 GOMER ST, YORKTOWN HEIGHTS, NY 10598",-73.7891583,41.3313962
1490,7/1/1980,WESTCHESTER,LAKELAND-COPPER BEECH MIDDLE SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL INDEPENDENT CENTRAL,Middle School,3417 OLD YORKTOWN RD,YORKTOWN HEIGHTS,NY,10598,"3417 OLD YORKTOWN RD, YORKTOWN HEIGHTS, NY 10598",-73.8159686,41.3214655
1491,7/1/1980,WESTCHESTER,BENJAMIN FRANKLIN ELEMENTARY SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL INDEPENDENT CENTRAL,Elementary,3477 KAMHI DR,YORKTOWN HEIGHTS,NY,10598,"3477 KAMHI DR, YORKTOWN HEIGHTS, NY 10598",-73.8204232,41.3238728
1492,7/1/1980,WESTCHESTER,YORKTOWN CENTRAL SCHOOL DISTRICT,SCHOOL DISTRICTS,INDEPENDENT CENTRAL,NA,2725 CROMPOND RD,YORKTOWN HEIGHTS,NY,10598,"2725 CROMPOND RD, YORKTOWN HEIGHTS, NY 10598",-73.8034668,41.2947113
1493,7/1/1980,WESTCHESTER,YORKTOWN HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL INDEPENDENT CENTRAL,Senior High,2727 CROMPOND RD,YORKTOWN HEIGHTS,NY,10598,"2727 CROMPOND RD, YORKTOWN HEIGHTS, NY 10598",-73.803489,41.2925852
1494,7/1/1980,WESTCHESTER,MILDRED E STRANG MIDDLE SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL INDEPENDENT CENTRAL,Middle School,2701 CROMPOND RD,YORKTOWN HEIGHTS,NY,10598,"2701 CROMPOND RD, YORKTOWN HEIGHTS, NY 10598",-73.8007714,41.2910769
1495,7/1/1980,WESTCHESTER,BROOKSIDE SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL INDEPENDENT CENTRAL,Elementary,2285 BROAD ST,YORKTOWN HEIGHTS,NY,10598,"2285 BROAD ST, YORKTOWN HEIGHTS, NY 10598",-73.7813965,41.286259
