"NAME","the_geom","ADDRESS1","ADDRESS2","CITY","ZIP","long","lat"
"Sam's Souk","POINT (-73.96253150655406 40.76945600789786)","979 Lexington Ave","","New York",10021,"-73.96253150655406","40.76945600789786"
"Sanada Ikkanart Intl","POINT (-73.9597778376811 40.78007651787356)","30 E 85th St","","New York",10028,"-73.9597778376811","40.78007651787356"
"Sands & Company Inc Fine Art At Madison Av","POINT (-73.96342194003462 40.774137804658366)","30 E 76th St","","New York",10021,"-73.96342194003462","40.774137804658366"
"Sara Meltzer On View","POINT (-73.99709362546815 40.72470086058279)","588 Broadway","#612","New York",10012,"-73.99709362546815","40.72470086058279"
"Sarafina Inc","POINT (-73.9693726839187 40.69329478591217)","411 Myrtle Ave","","Brooklyn",11205,"-73.9693726839187","40.69329478591217"
"Sarajo Inc","POINT (-73.99880177429456 40.72527106908656)","130 Greene St","","New York",10012,"-73.99880177429456","40.72527106908656"
"Sarina Tang Fine Art","POINT (-74.00525477577852 40.74841075541706)","535 W 23rd St","","New York",10011,"-74.00525477577852","40.74841075541706"
"Savacou Galleries","POINT (-73.98626836015879 40.73178217523588)","240 E 13th St","","New York",10003,"-73.98626836015879","40.73178217523588"
"Sayn-Wittgenstein","POINT (-73.96141027379505 40.77036690857002)","155 E 72nd St","","New York",10021,"-73.96141027379505","40.77036690857002"
"Schellmann Editions","POINT (-74.00585461846735 40.749826941600126)","210 11th Ave","","New York",10001,"-74.00585461846735","40.749826941600126"
"Schickler Howard Fine Art","POINT (-73.9899230191079 40.70287471566356)","100 Water St","","Brooklyn",11201,"-73.9899230191079","40.70287471566356"
"Schillay Fine Art","POINT (-73.95267537512437 40.76613926035685)","520 E 72nd St","","New York",10021,"-73.95267537512437","40.76613926035685"
"Schiller & Bodo Fine Art","POINT (-73.96628742693697 40.76612066503104)","120 E 65th St","","New York",10021,"-73.96628742693697","40.76612066503104"
"Schlesinger Gallery","POINT (-73.96547437151817 40.77245891705941)","24 E 73rd St","","New York",10021,"-73.96547437151817","40.77245891705941"
"Scholten Japanese Art","POINT (-73.96707156094901 40.7677175399878)","63 E 66th St","","New York",10021,"-73.96707156094901","40.7677175399878"
"Schonfeld R D & Co Inc","POINT (-73.9669851798845 40.753635380576966)","349 E 49th St","Apt 6B","New York",10017,"-73.9669851798845","40.753635380576966"
"Sculpture Center","POINT (-73.94081426624797 40.746921327465024)","44-19 Purves St","","Long Island City",11101,"-73.94081426624797","40.746921327465024"
"Sean Kelly Inc","POINT (-74.00306879167971 40.75188382019684)","526 W 29th St","","New York",10001,"-74.00306879167971","40.75188382019684"
"Sears-Peyton Gallery","POINT (-74.0057991263059 40.74991739032808)","210 11th Ave","","New York",10001,"-74.0057991263059","40.74991739032808"
"Seaside Summer Concert Series Inc","POINT (-73.96089003981638 40.65968268185264)","572 Flatbush Ave","","Brooklyn",11225,"-73.96089003981638","40.65968268185264"
"Second Ave Art Expo","POINT (-73.96741088497615 40.7558314157737)","980 2nd Ave","","New York",10022,"-73.96741088497615","40.7558314157737"
"Seibold Eleanor","POINT (-73.94807967210905 40.77506696449551)","1601 York Ave","","New York",10028,"-73.94807967210905","40.77506696449551"
"Senior & Shopmaker","POINT (-73.98681734650098 40.74327330486988)","21 E 26th St","","New York",10010,"-73.98681734650098","40.74327330486988"
