Active Date,COUNTY,LEGAL NAME,INSTITUTION TYPE DESCRIPTION,INSTITUTION SUB TYPE DESCRIPTION,GRADE ORGANIZATION DESCRIPTION,MAILING ADDRESS,MAIL CITY,STATE,ZIP
7/1/80,NEW YORK,WINSTON PREPARATORY SCHOOL,NON-PUBLIC SCHOOLS,INDEPENDENT,Junior Senior School,126 W 17TH ST,NEW YORK,NY,10011
7/1/00,NEW YORK,"ASSOCIATION FOR METROAREA AUTISTIC CHILDREN, INC",NON-PUBLIC SCHOOLS,INDEPENDENT,Special School,25 W 17TH ST,NEW YORK,NY,10011
7/1/80,NEW YORK,XAVIER HIGH SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,Senior High,30 W 16TH ST,NEW YORK,NY,10011
7/1/99,NEW YORK,COOKE CENTER ACADEMY,NON-PUBLIC SCHOOLS,INDEPENDENT,K-12 School,60 MACDOUGAL ST,NEW YORK,NY,10012
7/1/03,NEW YORK,PS 130 HERNANDO DE SOTO,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,143 BAXTER ST,NEW YORK,NY,10013
7/1/01,NEW YORK,PS 150,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,334 GREENWICH ST,NEW YORK,NY,10013
7/1/08,NEW YORK,NYC ISCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,131 AVE OF THE AMERICAS,NEW YORK,NY,10013
7/1/03,NEW YORK,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,131 AVE OF THE AMERICAS,NEW YORK,NY,10013
7/1/80,NEW YORK,TRANSFIGURATION SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,Elementary,29 MOTT ST,NEW YORK,NY,10013
7/1/11,NEW YORK,BROOME STREET ACADEMY CHARTER HIGH SCHOOL,PUBLIC SCHOOLS,CHARTER SCHOOL,Senior High,121 AVE OF THE AMERICAS,NEW YORK,NY,10013
7/1/80,NEW YORK,PS 721 MANHATTAN OCCUPATIONAL TRAINING CENTER,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,250 W HOUSTON ST,NEW YORK,NY,10014
7/1/03,NEW YORK,PS 3 CHARRETTE SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,490 HUDSON ST,NEW YORK,NY,10014
7/1/03,NEW YORK,HS 560 CITY-AS-SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,16 CLARKSON ST,NEW YORK,NY,10014
7/1/01,NEW YORK,NOTRE DAME SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,Senior High,327 W 13TH ST,NEW YORK,NY,10014
7/1/80,NEW YORK,OUR LADY OF POMPEII SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,Elementary,240 BLEECKER ST,NEW YORK,NY,10014
7/1/07,NEW YORK,ACADEMY OF ST JOSEPH,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,Elementary,111 WASHINGTON PL,NEW YORK,NY,10014
7/1/80,NEW YORK,SAINT LUKE'S SCHOOL,NON-PUBLIC SCHOOLS,EPISCOPAL,Elementary,487 HUDSON ST,NEW YORK,NY,10014
7/1/03,NEW YORK,LITTLE RED SCHOOL HOUSE-ELISABETH IRWIN HIGH SCHOOL,NON-PUBLIC SCHOOLS,INDEPENDENT,K-12 School,272 6TH AVE,NEW YORK,NY,10014
7/1/80,NEW YORK,VILLAGE COMMUNITY SCHOOL,NON-PUBLIC SCHOOLS,INDEPENDENT,Elementary,272 W 10TH ST,NEW YORK,NY,10014
7/1/13,KINGS,NEW VISIONS CHARTER HIGH SCHOOL FOR THE HUMANITIES III,PUBLIC SCHOOLS,CHARTER SCHOOL,Senior High,320 W 13TH ST-6TH FL,NEW YORK,NY,10014
7/1/80,NEW YORK,HEARING EDUCATION SERVICES,PUBLIC SCHOOLS,NYC BUREAU,NA,22 ET 28TH ST,NEW YORK,NY,10016
7/1/80,NEW YORK,PS 116 MARY LINDLEY MURRAY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,210 E 33RD ST,NEW YORK,NY,10016
7/1/13,NEW YORK,RIVER SCHOOL (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,425 E 35TH ST,NEW YORK,NY,10016
7/1/10,NEW YORK,MANHATTAN ACADEMY FOR ARTS AND LANGUAGES,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,111 E 33RD ST,NEW YORK,NY,10016
7/1/10,NEW YORK,MURRAY HILL ACADEMY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,111 E 33RD ST,NEW YORK,NY,10016
7/1/93,NEW YORK,UNITY CENTER FOR URBAN TECHNOLOGIES,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,111 E 33RD ST,NEW YORK,NY,10016
7/1/06,NEW YORK,REBECCA SCHOOL,NON-PUBLIC SCHOOLS,INDEPENDENT,Special School,40 E 30TH ST,NEW YORK,NY,10016
7/1/09,NEW YORK,AARON SCHOOL (8-12),NON-PUBLIC SCHOOLS,INDEPENDENT,Junior Senior School,42 E 30TH ST,NEW YORK,NY,10016
7/1/12,NEW YORK,FUSION ACADEMY MANHATTAN,NON-PUBLIC SCHOOLS,INDEPENDENT,Junior Senior School,450 PARK AVE SOUTH-9TH FL,NEW YORK,NY,10016
7/1/80,NEW YORK,CHURCHILL SCHOOL AND CENTER (THE),NON-PUBLIC SCHOOLS,INDEPENDENT,K-12 School,301 E 29TH ST,NEW YORK,NY,10016
7/1/98,NEW YORK,OFFICE OF SPECIAL INVESTIGATIONS,PUBLIC SCHOOLS,NYC BUREAU,NA,49 CHAMBER ST,NEW YORK,NY,10017
7/1/80,NEW YORK,FRENCH-JAPANESE EDUCATIONAL INSTITUTE OF NY-DBA LYCEUM KENNEDY,NON-PUBLIC SCHOOLS,INDEPENDENT,K-12 School,225 E 43RD ST,NEW YORK,NY,10017
7/1/80,NEW YORK,FAMILY SCHOOL (THE),NON-PUBLIC SCHOOLS,INDEPENDENT,Elementary,323 E 47TH ST,NEW YORK,NY,10017
7/1/03,NEW YORK,AARON SCHOOL (K-7),NON-PUBLIC SCHOOLS,INDEPENDENT,Elementary,309 E 45TH ST,NEW YORK,NY,10017
7/1/09,NEW YORK,SPRUCE STREET SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,12 SPRUCE ST,NEW YORK,NY,10018
7/1/03,NEW YORK,PS 35,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Junior Senior School,317 W 52ND ST,NEW YORK,NY,10019
7/1/03,NEW YORK,PS 59 BEEKMAN HILL INTERNATIONAL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,231-249 E 56TH ST,NEW YORK,NY,10019
7/1/03,NEW YORK,PS 111 ADOLPH S OCHS,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,440 W 53RD ST,NEW YORK,NY,10019
7/1/13,NEW YORK,STEPHEN T MATHER BUILDING ARTS AND CRAFTMANSHIP HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,439 W 49TH ST-4TH FL,NEW YORK,NY,10019
7/1/04,NEW YORK,FOOD AND FINANCE HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,525 W 50TH ST,NEW YORK,NY,10019
7/1/04,NEW YORK,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,525 W 50TH ST,NEW YORK,NY,10019
7/1/04,NEW YORK,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,525 W 50TH ST,NEW YORK,NY,10019
7/1/05,NEW YORK,FACING HISTORY SCHOOL (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,525 W 50TH ST,NEW YORK,NY,10019
7/1/09,NEW YORK,BUSINESS OF SPORTS SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,439 W 49TH ST,NEW YORK,NY,10019
7/1/92,NEW YORK,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,444 W 56TH ST,NEW YORK,NY,10019
7/1/11,NEW YORK,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,439 W 49TH ST,NEW YORK,NY,10019
7/1/03,NEW YORK,MANHATTAN BRIDGES HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,525 W 50TH ST,NEW YORK,NY,10019
7/1/03,NEW YORK,INDEPENDENCE HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,850 10TH AVE,NEW YORK,NY,10019
7/1/03,NEW YORK,ART AND DESIGN HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,231-249 E 56TH ST,NEW YORK,NY,10019
7/1/80,NEW YORK,SACRED HEART OF JESUS SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,Elementary,456 W 52ND ST,NEW YORK,NY,10019
7/1/87,NEW YORK,SAINT THOMAS CHOIR SCHOOL,NON-PUBLIC SCHOOLS,EPISCOPAL,Elementary,202 W 58TH ST,NEW YORK,NY,10019
7/1/13,NEW YORK,SUCCESS ACADEMY CHARTER SCHOOL-HELL'S KITCHEN,PUBLIC SCHOOLS,CHARTER SCHOOL,Elementary,439 W 49TH ST-2ND FL,NEW YORK,NY,10019
7/1/09,NEW YORK,SPEYER LEGACY SCHOOL (THE),NON-PUBLIC SCHOOLS,INDEPENDENT,Elementary,925 9TH AVE,NEW YORK,NY,10019
7/1/03,NEW YORK,PS 158 BAYLARD TAYLOR,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,1458 YORK AVE,NEW YORK,NY,10021
7/1/80,NEW YORK,JHS 167 ROBERT F WAGNER,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,220 E 76TH ST,NEW YORK,NY,10021
7/1/80,NEW YORK,PS 183 ROBERT L STEVENSON,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,419 E 66TH ST,NEW YORK,NY,10021
7/1/02,NEW YORK,ELEANOR ROOSEVELT HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,411 E 76TH ST,NEW YORK,NY,10021
7/1/03,NEW YORK,ELLA BAKER SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,317 E 67TH ST,NEW YORK,NY,10021
7/1/93,NEW YORK,VANGUARD HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,317 E 67TH ST-RM 401,NEW YORK,NY,10021
7/1/93,NEW YORK,MANHATTAN INTERNATIONAL HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,317 E 67TH ST,NEW YORK,NY,10021
7/1/03,NEW YORK,TALENT UNLIMITED HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,317 E 67TH ST,NEW YORK,NY,10021
7/1/03,NEW YORK,URBAN ACADEMY LABORATORY HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,317 E 67TH ST,NEW YORK,NY,10021
7/1/80,NEW YORK,SAINT JEAN BAPTISTE HIGH SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,Senior High,173 E 75TH ST,NEW YORK,NY,10021
7/1/93,NEW YORK,MANHATTAN HIGH SCHOOL FOR GIRLS,NON-PUBLIC SCHOOLS,JEWISH,Senior High,154 E 70TH ST,NEW YORK,NY,10021
7/1/80,NEW YORK,CATHEDRAL SCHOOL (THE),NON-PUBLIC SCHOOLS,GREEK ORTHODOX,Elementary,319 E 74TH ST,NEW YORK,NY,10021
7/1/80,NEW YORK,BUCKLEY SCHOOL,NON-PUBLIC SCHOOLS,INDEPENDENT,Elementary,113 E 73RD ST,NEW YORK,NY,10021
7/1/80,NEW YORK,LYCEE FRANCAIS DE NEW YORK,NON-PUBLIC SCHOOLS,INDEPENDENT,K-12 School,505 E 75TH ST,NEW YORK,NY,10021
7/1/80,NEW YORK,HEWITT SCHOOL (THE),NON-PUBLIC SCHOOLS,INDEPENDENT,K-12 School,45 E 75TH ST,NEW YORK,NY,10021
7/1/80,NEW YORK,TOWN SCHOOL (THE),NON-PUBLIC SCHOOLS,INDEPENDENT,Elementary,540 E 76TH ST,NEW YORK,NY,10021
7/1/80,NEW YORK,CATHEDRAL HIGH SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,Senior High,350 E 56TH ST,NEW YORK,NY,10022
7/1/80,NEW YORK,BEEKMAN SCHOOL (THE),NON-PUBLIC SCHOOLS,INDEPENDENT,Senior High,220 E 50TH ST,NEW YORK,NY,10022
7/1/94,NEW YORK,MANHATTAN HIGH SCHOOLS,PUBLIC SCHOOLS,NYC BUREAU,NA,122 AMSTERDAM AVE,NEW YORK,NY,10023
7/1/80,NEW YORK,ABRAHAM JOSHUA HESCHEL SCHOOL,NON-PUBLIC SCHOOLS,JEWISH,K-12 School,30 WEST END AVE,NEW YORK,NY,10023
7/1/80,NEW YORK,PS 191 AMSTERDAM,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,210 W 61ST ST,NEW YORK,NY,10023
7/1/80,NEW YORK,PS 199 JESSIE ISADOR STRAUS,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,270 W 70TH ST,NEW YORK,NY,10023
7/1/15,NEW YORK,WEST END SECONDARY SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Other,227-243 W 61ST ST,NEW YORK,NY,10023
7/1/05,NEW YORK,MAXINE GREENE HIGH SCHOOL FOR IMAGINATIVE INQUIRY (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,122 AMSTERDAM AVE,NEW YORK,NY,10023
7/1/04,NEW YORK,URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,122 AMSTERDAM AVE,NEW YORK,NY,10023
7/1/03,NEW YORK,"FIORELLO H LAGUARDIA HIGH SCHOOL OF MUSIC, ART AND PERFORMING ARTS",PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,100 AMSTERDAM AVE,NEW YORK,NY,10023
7/1/03,NEW YORK,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,122 AMSTERDAM AVE,NEW YORK,NY,10023
7/1/02,NEW YORK,HIGH SCHOOL OF ARTS AND TECHNOLOGY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,122 AMSTERDAM AVE,NEW YORK,NY,10023
7/1/03,NEW YORK,MANHATTAN/HUNTER SCIENCE HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,122 AMSTERDAM AVE,NEW YORK,NY,10023
7/1/09,NEW YORK,SPECIAL MUSIC SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Junior Senior School,129 W 67TH ST,NEW YORK,NY,10023
7/1/80,NEW YORK,BLESSED SACRAMENT SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,Elementary,147 W 70TH ST,NEW YORK,NY,10023
7/1/80,NEW YORK,J G B EDUCATION SERVICES,NON-PUBLIC SCHOOLS,JEWISH,Special School,15 W 65TH ST,NEW YORK,NY,10023
7/1/80,NEW YORK,MANHATTAN DAY SCHOOL,NON-PUBLIC SCHOOLS,JEWISH,Elementary,310 W 75TH ST,NEW YORK,NY,10023
7/1/08,NEW YORK,GATEWAY MIDDLE SCHOOL (THE),NON-PUBLIC SCHOOLS,INDEPENDENT,Middle School,211 W 61ST ST - 6TH FL,NEW YORK,NY,10023
7/1/14,NEW YORK,"SHEFA SCHOOL, INC",NON-PUBLIC SCHOOLS,INDEPENDENT,Elementary,180 AMSTERDAM AVE,NEW YORK,NY,10023
7/1/14,NEW YORK,MANHATTAN STAR ACADEMY,NON-PUBLIC SCHOOLS,INDEPENDENT,Special School,180 AMSTERDAM AVE,NEW YORK,NY,10023
7/1/15,NEW YORK,FUSION ACADEMY LINCOLN CENTER,NON-PUBLIC SCHOOLS,INDEPENDENT,Other,157 COLUMBUS AVE-3RD FL,NEW YORK,NY,10023
7/1/80,NEW YORK,ETHICAL CULTURE-FIELDSTON SCHOOL,NON-PUBLIC SCHOOLS,INDEPENDENT,Elementary,33 CENTRAL PARK W,NEW YORK,NY,10023
7/1/80,NEW YORK,PROFESSIONAL CHILDRENS SCHOOL,NON-PUBLIC SCHOOLS,INDEPENDENT,Junior Senior School,132 W 60TH ST,NEW YORK,NY,10023
7/1/80,NEW YORK,ROBERT LOUIS STEVENSON SCHOOL,NON-PUBLIC SCHOOLS,INDEPENDENT,Junior Senior School,24 W 74TH ST,NEW YORK,NY,10023
7/1/97,NEW YORK,YORK PREPARATORY SCHOOL,NON-PUBLIC SCHOOLS,INDEPENDENT,Junior Senior School,40 W 68TH ST,NEW YORK,NY,10023
7/1/80,NEW YORK,GATEWAY SCHOOL OF NEW YORK,NON-PUBLIC SCHOOLS,INDEPENDENT,Special School,211 W 61ST ST-6TH FL,NEW YORK,NY,10023
7/1/88,NEW YORK,PARKSIDE SCHOOL,NON-PUBLIC SCHOOLS,INDEPENDENT,Special School,48 W 74TH ST,NEW YORK,NY,10023
7/1/03,NEW YORK,WEST END DAY SCHOOL,NON-PUBLIC SCHOOLS,INDEPENDENT,Special School,255 W 71ST ST,NEW YORK,NY,10023
7/1/03,NEW YORK,PS 811 MICKEY MANTLE SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,466 W END AVE,NEW YORK,NY,10024
7/1/91,NEW YORK,TREVOR DAY SCHOOL (THE),NON-PUBLIC SCHOOLS,EPISCOPAL,K-12 School,1 W 88TH ST,NEW YORK,NY,10024
7/1/80,NEW YORK,PS 9 SARAH ANDERSON,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,100 W 84TH ST,NEW YORK,NY,10024
7/1/80,NEW YORK,PS 87 WILLIAM SHERMAN,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,160 W 78TH ST,NEW YORK,NY,10024
7/1/03,NEW YORK,PS 166 RICHARD ROGERS SCHOOL OF THE ARTS & SCIENCE (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,132 W 89TH ST,NEW YORK,NY,10024
7/1/99,NEW YORK,MS 243 CENTER SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,100 W 84TH ST-RM 310,NEW YORK,NY,10024
7/1/99,NEW YORK,MS 245 COMPUTER SCHOOL (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,100 W 77TH ST,NEW YORK,NY,10024
7/1/05,NEW YORK,ANDERSON SCHOOL (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,100 W 77TH ST,NEW YORK,NY,10024
7/1/10,NEW YORK,PS 452,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,100 W 77TH ST,NEW YORK,NY,10024
7/1/09,NEW YORK,URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,145 W 84TH ST,NEW YORK,NY,10024
7/1/09,NEW YORK,GLOBAL LEARNING COLLABORATIVE (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,145 W 84TH ST,NEW YORK,NY,10024
7/1/09,NEW YORK,INNOVATION DIPLOMA PLUS,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,145 W 84TH ST,NEW YORK,NY,10024
7/1/10,NEW YORK,FRANK MCCOURT HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,145 W 84TH ST,NEW YORK,NY,10024
7/1/80,NEW YORK,SAINT GREGORY THE GREAT SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,Elementary,138 W 90TH ST,NEW YORK,NY,10024
7/1/15,NEW YORK,GAN ALIYA,NON-PUBLIC SCHOOLS,JEWISH,Other,126 E 56TH ST-FL 32,NEW YORK,NY,10024
7/1/80,NEW YORK,RODEPH SHOLOM SCHOOL,NON-PUBLIC SCHOOLS,JEWISH,Elementary,10 W 84TH ST,NEW YORK,NY,10024
7/1/80,NEW YORK,YESHIVA KETANA OF MANHATTAN,NON-PUBLIC SCHOOLS,JEWISH,Elementary,346 W 89TH ST,NEW YORK,NY,10024
7/1/91,NEW YORK,BEIT RABBAN DAY SCHOOL,NON-PUBLIC SCHOOLS,JEWISH,Elementary,15 W 86TH ST,NEW YORK,NY,10024
7/1/80,NEW YORK,TRINITY SCHOOL,NON-PUBLIC SCHOOLS,EPISCOPAL,K-12 School,139 W 91ST ST,NEW YORK,NY,10024
7/1/11,NEW YORK,SUCCESS ACADEMY CHARTER SCHOOL-UPPER WEST,PUBLIC SCHOOLS,CHARTER SCHOOL,Elementary,145 W 84TH ST-2ND FL,NEW YORK,NY,10024
7/1/06,NEW YORK,IDEAL SCHOOL AND ACADEMY,NON-PUBLIC SCHOOLS,INDEPENDENT,Junior Senior School,314 W 91ST ST,NEW YORK,NY,10024
7/1/80,NEW YORK,CALHOUN SCHOOL (THE),NON-PUBLIC SCHOOLS,INDEPENDENT,K-12 School,433 W END AVE,NEW YORK,NY,10024
7/1/80,NEW YORK,COLLEGIATE SCHOOL,NON-PUBLIC SCHOOLS,INDEPENDENT,K-12 School,260 W 78TH ST,NEW YORK,NY,10024
7/1/80,NEW YORK,ANGLO-AMERICAN INTERNATIONAL SCHOOL (THE),NON-PUBLIC SCHOOLS,INDEPENDENT,Senior High,18 W 89TH ST,NEW YORK,NY,10024
7/1/80,NEW YORK,STEPHEN GAYNOR SCHOOL,NON-PUBLIC SCHOOLS,INDEPENDENT,Elementary,148 W 90TH ST,NEW YORK,NY,10024
7/1/80,NEW YORK,METROPOLITAN MONTESSORI SCHOOL,NON-PUBLIC SCHOOLS,INDEPENDENT,Elementary,325 W 85TH ST,NEW YORK,NY,10024
7/1/93,NEW YORK,DWIGHT SCHOOL (THE),NON-PUBLIC SCHOOLS,INDEPENDENT,K-12 School,291 CENTRAL PARK W,NEW YORK,NY,10024
7/1/98,NEW YORK,SMITH SCHOOL (THE),NON-PUBLIC SCHOOLS,INDEPENDENT,Junior Senior School,131 W 86TH ST-9TH FL,NEW YORK,NY,10024
7/1/80,NEW YORK,NEW YORK CITY GEOGRAPHIC DISTRICT # 3,SCHOOL DISTRICTS,CITY,NA,154 W 93RD ST,NEW YORK,NY,10025
7/1/03,NEW YORK,JHS 54 BOOKER T WASHINGTON,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,103 W 107TH ST,NEW YORK,NY,10025
7/1/80,NEW YORK,PS 75 EMILY DICKINSON,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,735 WEST END AVE,NEW YORK,NY,10025
7/1/80,NEW YORK,PS 84 LILLIAN WEBER,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,32 W 92ND ST,NEW YORK,NY,10025
7/1/80,NEW YORK,PS 145 BLOOMINGDALE SCHOOL (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,150 W 105TH ST,NEW YORK,NY,10025
7/1/80,NEW YORK,PS 163 ALFRED E SMITH,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,163 W 97TH ST,NEW YORK,NY,10025
7/1/80,NEW YORK,PS 165 ROBERT E SIMON,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,234 W 109TH ST,NEW YORK,NY,10025
7/1/03,NEW YORK,MS 247 DUAL LANGUAGE MIDDLE SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,32 W 92ND ST,NEW YORK,NY,10025
7/1/03,NEW YORK,MS 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,735 W END AVE,NEW YORK,NY,10025
7/1/03,NEW YORK,MS 256 ACADEMIC AND ATHLETIC EXCELLENCE,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,154 W 93RD ST,NEW YORK,NY,10025
7/1/99,NEW YORK,COMMUNITY ACTION SCHOOL-MS 258,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,154 W 93RD ST,NEW YORK,NY,10025
7/1/99,NEW YORK,PS 333 MANHATTAN SCHOOL FOR CHILDREN,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,154 W 93RD ST,NEW YORK,NY,10025
7/1/09,NEW YORK,WEST PREP ACADEMY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,150 W 105TH ST,NEW YORK,NY,10025
7/1/04,NEW YORK,MOTT HALL II,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,234 W 109TH ST,NEW YORK,NY,10025
7/1/03,NEW YORK,EDWARD A REYNOLDS WEST SIDE HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,140 W 102ND ST,NEW YORK,NY,10025
7/1/80,NEW YORK,ASCENSION SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,Elementary,220 W 108TH ST,NEW YORK,NY,10025
7/1/99,NEW YORK,SOLOMON SCHECHTER SCHOOL OF MANHATTAN,NON-PUBLIC SCHOOLS,JEWISH,Elementary,805 COLUMBUS AVE,NEW YORK,NY,10025
7/1/80,NEW YORK,SS HILDA & HUGH SCHOOL,NON-PUBLIC SCHOOLS,EPISCOPAL,Elementary,619 W 114TH ST,NEW YORK,NY,10025
7/1/80,NEW YORK,CATHEDRAL SCHOOL,NON-PUBLIC SCHOOLS,EPISCOPAL,Elementary,1047 AMSTERDAM AVE,NEW YORK,NY,10025
7/1/80,NEW YORK,ALEXANDER ROBERTSON SCHOOL,NON-PUBLIC SCHOOLS,PRESBYTERIAN,Elementary,3 W 95TH ST,NEW YORK,NY,10025
7/1/07,NEW YORK,"MANHATTAN CHILDREN'S CENTER, INC (THE)",NON-PUBLIC SCHOOLS,INDEPENDENT,Other,124 W 95TH ST,NEW YORK,NY,10025
7/1/80,NEW YORK,BANK STREET COLELGE OF EDUCATION,NON-PUBLIC SCHOOLS,INDEPENDENT,Elementary,610 W 112TH ST,NEW YORK,NY,10025
7/1/80,NEW YORK,COLUMBIA GRAMMAR & PREPARATORY SCHOOL,NON-PUBLIC SCHOOLS,INDEPENDENT,K-12 School,5 W 93RD ST,NEW YORK,NY,10025
7/1/80,NEW YORK,MANDELL SCHOOL INC (THE),NON-PUBLIC SCHOOLS,INDEPENDENT,Elementary,103 W 96TH ST,NEW YORK,NY,10025
