Active Date,COUNTY,LEGAL NAME,INSTITUTION TYPE DESCRIPTION,INSTITUTION SUB TYPE DESCRIPTION,GRADE ORGANIZATION DESCRIPTION,MAILING ADDRESS,MAIL CITY,STATE,ZIP
7/1/80,KINGS,PS 8 ROBERT FULTON,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,37 HICKS ST,BROOKLYN,NY,11201
7/1/03,KINGS,PS 287 BAILEY K ASHFORD,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,50 NAVY ST,BROOKLYN,NY,11201
7/1/03,KINGS,PS 307 DANIEL HALE WILLIAMS,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,209 YORK ST,BROOKLYN,NY,11201
7/1/04,KINGS,DOCK STREET SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,19 DOCK ST,BROOKLYN,NY,11201
7/1/05,KINGS,URBAN ASSEMBLY SCHOOL FOR MUSIC AND ART,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,49 FLATBUSH AVE EXT,BROOKLYN,NY,11201
7/1/03,KINGS,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCI, TECH AND CREATIVE ARTS",PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,49 FLATBUSH AVE EXT,BROOKLYN,NY,11201
7/1/03,KINGS,BROOKLYN INTERNATIONAL HIGH SCHOOL AT WATERS EDGE,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,49 FLATBUSH AVE EXT,BROOKLYN,NY,11201
7/1/04,KINGS,URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,283 ADAMS ST,BROOKLYN,NY,11201
7/1/06,KINGS,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Junior Senior School,283 ADAMS ST,BROOKLYN,NY,11201
7/1/03,KINGS,GEORGE WESTINGHOUSE CAREER & TECHNICAL ED HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,105 TECH PL,BROOKLYN,NY,11201
