NAME,the_geom,ADDRESS1,ADDRESS2,CITY,ZIP,long,lat
Rogallerycom,POINT (-73.95726808829765 40.76970749577403),300 East 74th Street,,Manhattan,10021,-73.95726809,40.7697075
Ronald Feldman Fine Arts,POINT (-74.00185591328102 40.7211603892599),31 Mercer St,,Manhattan,10013,-74.00185591,40.72116039
Roosevelt Island Visual Arts Assoc,POINT (-73.95643509706022 40.7535986702466),527 Main St,,Manhattan,10044,-73.9564351,40.75359867
Rosen Andrea Gallery Inc,POINT (-74.00493762277485 40.74904372260324),525 W 24th St,,Manhattan,10011,-74.00493762,40.74904372
Rosenberg & Kaufman Fine Art,POINT (-74.00070940720575 40.72502497030408),115 Wooster St,,Manhattan,10012,-74.00070941,40.72502497
Rosenberg Paul & Co,POINT (-73.96251598937279 40.77623795678713),20 E 79th St,,Manhattan,10021,-73.96251599,40.77623796
Ross Luise Gallery,POINT (-74.00391752109321 40.74945791536082),511 West 25 Street,,Manhattan,10001,-74.00391752,40.74945792
Roth,POINT (-73.9625371631743 40.76883963218358),160A E 70th St,,Manhattan,10021,-73.96253716,40.76883963
Rotunda Gallery,POINT (-73.99146799382999 40.69515733841206),33 Clinton St,,Brooklyn,11201,-73.99146799,40.69515734
Royal Fine Art,POINT (-73.95868741367525 40.77550888584743),1158 Lexington Ave,,Manhattan,10021,-73.95868741,40.77550889
Royal-Athena Galleries,POINT (-73.96804936659153 40.760786110700764),153 E 57th St,Ph,Manhattan,10022,-73.96804937,40.76078611
Rudolph De Paola Art Gallery,POINT (-74.02172406852321 40.6179934963939),6 Parrott Pl,,Brooklyn,11228,-74.02172407,40.6179935
Ruesch Jeffrey Fine Arts,POINT (-74.00107130886676 40.72382475175759),134 Spring St,Fl 2,Manhattan,10012,-74.00107131,40.72382475
Russeck Gallery,POINT (-74.00056532211813 40.72679315564427),478 W Broadway,,Manhattan,10012,-74.00056532,40.72679316
